110	110	W AH N T I AH N;
Ancylostoma	_ancylostoma_	AE N S IH L AO S T AH M AH;
Ancylostoma	_ancylostoma_	AE N S IH L O S T AH M AH;
Angiocath	_angiocath_	AE N JH I AH K AA TH;
Angiocath	_angiocath_	AE N JH I O K AE TH;
Apley	_apley_	AE P L I;
Apley	_apley_	AH P L I;
Apley's	_apley_s_	AE P L I Z;
Apley's	_apley_s_	AH P L I Z;
Ara	_ara_	AA R AH;
Ara	_ara_	AE R AH;
Ara-C	ara_c	AA R AH S I;
Ara-C	ara_c	AE R AH S I;
Armonair	_armonair_	AA R M AH N EH R;
Armonair	_armonair_	AA R M O N EH R;
ArteFill	arte_fill	AA R D AH F IH L;
ArteFill	arte_fill	AA R T IH F IH L;
Artelon	artelon	AA R T AH L AA N;
Artelon	artelon	AA R T EH L AH N;
Artelon	artelon	AA R T IH L AH N;
Arthro-Flo	arthro_flo	AA R TH ER O F L O;
Arthro-Flo	arthro_flo	AA R TH R AH F L O;
Arthro-Flo	arthro_flo	AA R TH R O F L O;
Arthro-Lok	arthro_lok	AA R TH ER O L AA K;
Arthro-Lok	arthro_lok	AA R TH R AH L AA K;
Arthro-Lok	arthro_lok	AA R TH R O L AA K;
Articulose	_articulose_	AA R T IH K J AH L O S;
Articulose	_articulose_	AA R T IH K J U L O S;
Articulose	_articulose_	AA R T IH K J U L O Z;
AseraCare	_aseracare_	AE S EH R AH K AE R;
AseraCare	_aseracare_	AH S EH R AH K EH R;
Asperger	_asperger_	AE S P ER G ER;
Asperger	_asperger_	AE Z P ER R G ER;
Asperger's	_asperger_s_	AE S P ER G ER Z;
Asperger's	_asperger_s_	AE Z P ER R G ER Z;
Auer	_auer_	AU W ER;
Auer rod	auer_rod	AU W ER R AA D;
Auer rods	auer_rods	AU W ER R AA D Z;
Aura	_aura_	AA R AH;
Aura	_aura_	AO R AH;
AuraTek	_auratek_	AO R AH T EH K;
AuraTek	_auratek_	AO R AH T IH K;
AuraTek	_auratek_	AO R EI T EH K;
Aurand	_aurand_	AO ER R AH N D;
Aurand	_aurand_	AO R AH N D;
Aurand	_aurand_	ER AE N D;
AxoGen	Paxogen_	AE K S O JH EH N;
Axona	_axona_	AE K S AA N AH;
Axonics	_axonics_	AE K S AA N AH K S;
Axonics	_axonics_	AE K S AA N IH K S;
Axonics	_axonics_	AH K S AA N IH K S;
BPSD	_bpsd_	B I P I EH S D I;
BPSD	_bpsd_	B I P I EH S D I;
BRONJ	b_r_o_n_j	B I AA R O EH N JH EI;
Babinski reflex	babinski_reflex	B AE B IH N S K AH R I F L EH K S;
Babinski reflex	babinski_reflex	B AE B IH N S K I R I F L EH K S;
Babinski reflex	babinski_reflex	B AE B IH N S K IH R I F L EH K S;
Babinski sign	babinski_sign	B AE B IH N S K AI S AI N;
Babinski sign	babinski_sign	B AE B IH N S K I S AI N;
Babinski sign	babinski_sign	B AE B IH N S K IH S AI N;
Babinski's	_babinski_s_	B AE B IH N S K I Z;
Babinskis	_babinskis_	B AE B IH N S K I Z;
Bacillus	_bacillus_	B AE S IH L AH S;
Bacillus	_bacillus_	B AH S IH L AH S;
Bacteriaceae	_bacteriaceae_	B AE K T I R I AH S I EI;
Bacteriaceae	_bacteriaceae_	B AE K T IH R I AE K I EI;
Bacteriaceae	_bacteriaceae_	B AE K T IH R I AH S I EI;
Bacterium	_bacterium_	B AE K T I R I AH M;
Bacterium	_bacterium_	B AE K T IH R I AH M;
Barostim Neo	barostim_neo	B EH R O S T IH M N I O;
Bartonella	_bartonella_	B AA R T O N EH L AH;
Bartonellaceae	_bartonellaceae_	B AA R T AH N EH L AH S I EI;
Bartonellaceae	_bartonellaceae_	B AA R T AH N EH L EI I;
Bartonellaceae	_bartonellaceae_	B AA R T AH N EH L EI S I EI;
Bartonellosis	_bartonellosis_	B AA R T AH N EH L O S AH S;
Bartonellosis	_bartonellosis_	B AA R T AH N EH L O S IH S;
Bartonellosis	_bartonellosis_	B AA R T O N EH L O S AH S;
Basaljel	_basaljel_	B AH S AO L J EH L;
Basaljel	_basaljel_	B AH S AO L JH AH L;
Basaljel	_basaljel_	B AH S AO L JH EH L;
Basedow	_basedow_	B EI S AH D O;
Basedow	_basedow_	B EI S D AU;
Basedow	_basedow_	B EI S D O;
Basedow's	_basedow_s_	B AA Z AH D O Z;
Basedow's	_basedow_s_	B AA Z EH D O Z;
Basilica	_basilica_	B AA S IH L AH K AH;
Basilica	_basilica_	B AA S IH L IH K AH;
Basilica	_basilica_	B AE S IH L IH K AH;
Basinger	_basinger_	B AA S IH NG ER;
Basinger	_basinger_	B EI S IH NG ER;
Bassen-Kornzweig	bassen_kornzweig	B AE S AH N K AO R N Z W AI G;
Bassen-Kornzweig	bassen_kornzweig	B AE S AH N K ER N Z W AI G;
Bassen-Kornzweig	bassen_kornzweig	B AE S IH N K AO R N Z W AI G;
Batten	_batten_	B AE T AH N;
Batten disease	batten_disease	B AE T AH N D IH S I Z;
Batten disease	batten_disease	B AE T AH N D IH Z I Z;
Batten disease	batten_disease	B AE T IH N D IH Z I Z;
Berger's	_berger_s_	B ER G ER Z;
Berger's	_berger_s_	B J U R JH ER Z;
Bi-Flex	bi_flex	B AI F L EH K S;
Billeau	_billeau_	B I J O;
Billeau ear	billeau_ear	B I J O IH R;
Billeau loop	billeau_loop	B I J O L U P;
Biocorneum	_biocorneum_	B AI O K AO R N I AH M;
Bioness	_bioness_	B AI AH N EH S;
Bioness	_bioness_	B AI AO N EH S;
Bioness	_bioness_	B AI O N EH S;
Bionicare	_bionicare_	B AI AA N IH K AH R;
Bionicare	_bionicare_	B I AA N AH K EH R;
Bionicare	_bionicare_	B I AA N IH K AH R;
Biotene	_biotene_	B AI O T I N;
Blastoconidium	_blastoconidium_	B L AE S T AH K AO N IH D I AH M;
Blastoconidium	_blastoconidium_	B L AE S T AH S AH N IH D I AH M;
Blastoconidium	_blastoconidium_	B L AE S T O K O N IH D I AH M;
Blastocystis	_blastocystis_	B L AE S T AH S IH S T AH Z;
Blastocystis	_blastocystis_	B L AE S T AH S IH S T I Z;
Blastocystis	_blastocystis_	B L AE S T O S IH S T I Z;
Blastomyces	_blastomyces_	B L AE S T AH M AI S IH Z;
Blastomyces	_blastomyces_	B L AE S T AH M IH K S;
Blastomyces	_blastomyces_	B L AE S T O M AI S AH Z;
Blastomycetes	_blastomycetes_	B L AE S T AH M I CH EI T S;
Blastomycetes	_blastomycetes_	B L AE S T AH M I S I T S;
Blastomycetes	_blastomycetes_	B L AE S T O M AI S I T S;
Bloom-Richarson Grade	_bloom_richardson_grade_	B L U M R IH CH ER D S AH N G R EI D;
Bournemouth	_bournemouth_	B AO R N M AH TH;
Bovary syndrome	bovary_syndrome	B O V AH R I S IH N D R O M;
Bovie	_bovie_	B O V I;	electrosurgical current generator
Braxton-Hicks	braxton_hicks	B R AE K S T AH N H IH K S;
Breslow	_breslow_	B R EH S L O;
Breslow's	breslow_s	B R EH S L AU Z;
Breslow's	breslow_s	B R EH S L O Z;
Broca's	_broca_s_	B R O K AH Z;
Budd-Chiari	budd_chiari	B AH D K I AA R I;
Budd-Chiari	budd_chiari	B AH D K IH AA R I;
Budd-Chiari	budd_chiari	B AH D K J I AA R I;
Budd-Chiari	budd_chiari	B AH T K I AA R I;
Buerger's	_buerger_s_	B ER G ER Z;
Buerger's	_buerger_s_	B J U R JH ER Z;
Bulkamid	_bulkamid_	B AH L K AA M I D;
Bulkamid	_bulkamid_	B AH L K AH M IH D;
Burkitt's	_burkitt_s_	B ER K AH T S;
Burkitt's	_burkitt_s_	B ER K EH T S;
Burkitt's	_burkitt_s_	B ER K IH T S;
Burkitt's	_burkitt_s_	B ER R K IH T S;
C-Flex	c_flex	S I F L EH K S;
C-Flex II	c_flex_ii	S I F L EH K S T U;
CC:	cc_colon	S I S I K O L AH N;
CHAPLE	_chaple_	CH EI P AH L;
CHAPLE Disease	_chaple_disease_	CH AE P L D IH Z I Z;
CHAPLE Syndrome	_chaple_syndrome_	CH AE P L S IH N D R O M;
CSF/BET	csf_bet	S I EH S EH F S L AE SH B I I T I;
CSPMP	_cspmp_	S I EH S P I EH M P I;
Capnocytophaga	_capnocytophaga_	K AE P N O S AI D AH F EI JH AX;
Capnocytophaga	_capnocytophaga_	K AE P N O S AI D AH F EI ZH AX;
Capnocytophaga	_capnocytophaga_	K AE P N O S AI T O F EI JH AX;
Carbo	_carbo_	K AA R B O;
CarboFlex	_carboflex_	K AA R B AH F L EH K S;
CarboFlex	_carboflex_	K AA R B O F L EH K S;
CarboMedics	_carbomedics_	K AA R B O M EH D IH K S;
Carbodec	_carbodec_	K AA R B AH D AH K;
Carbodec	_carbodec_	K AA R B AH D EH K;
Carbodec	_carbodec_	K AA R B O D EH K;
Carboflo	_carboflo_	K AA R B AH F L O;
Carboflo	_carboflo_	K AA R B O F L O;
Cardia	_cardia_	K AA R D I AH;
Cardia	_cardia_	K AA R T I AH;
Cardinal	_cardinal_	K AA R D AH N AH L;
Cardinal	_cardinal_	K AA R D IH N AH L;
Cardinale	_cardinale_	K AA R D I N AA L I;
Cardinals	_cardinals_	K AA R D AH N AH L Z;
Cardinals	_cardinals_	K AA R D IH N AH L Z;
Carpi	_carpi_	K AA R P I;
Carpine	_carpine_	K AA R P AH N;
Carpine	_carpine_	K AA R P AI N;
Carpine	_carpine_	K AA R P I N;
Carpine	_carpine_	K AA R P IH N EI;
Carpine	_carpine_	K AA R P IH N;
Carpio	_carpio_	K AA R P I O;
Casani	_casani_	K AH S AA N I;
Cavachon	_cavachon_	K AE V AH CH AO N;
Cavachon	_cavachon_	K AE V AH SH AA N;
Cavitary	_cavitary_	K AE V AX T EH R I;
Cefaly	_cefaly_	S EH F AH L I;
Cerene	_cerene_	S AH R I N;
Cerene	_cerene_	S EH R I N;
ChadsVASc	_chadsvasc_	CH AE D S V AE S K;
ChadsVASc	_chadsvasc_	CH AE D Z V AE S K;
Chamberlain procedure	_chamberlain_procedure_	CH EI M B ER L AH N P R AH S I JH ER;
Chamberlain procedure	_chamberlain_procedure_	CH EI M B ER L AH N P R O S I D J U R;
Charcot's	_charcot_s_	CH AA R K AA T S;
Charcot's	_charcot_s_	CH AA R K AH T S;
Charcot's	_charcot_s_	SH AA R K AA T S;
Charcot's	_charcot_s_	SH AA R K O S;
Charcot's	_charcot_s_	SH AA R K O Z;
Charcot-Marie	charcot_marie	SH AA R K O M AH R I;
Charcot-Marie-Tooth	charcot_marie_tooth	CH AA R K AA T M ER I T U TH;
Charcot-Marie-Tooth	charcot_marie_tooth	CH AA R K O M AA R I T U TH;
Charcot-Marie-Tooth	charcot_marie_tooth	SH AA R K AA T M ER I T U TH;
Charcot-Marie-Tooth	charcot_marie_tooth	SH AA R K O M AH R I T U TH;
Charcot-type	charcot_type	SH AA R K O T AI P;
Charles Bonnett Syndrome	_charles_bonnett_syndrome	CH AA R L Z B AA N AH T S IH N D R O M;
Charnley	_charnley_	CH AA R N L I;
Charnley awl	charnley_awl	CH AA R N L I AO L;
Chemistry-7	chemistry_7	K EH M IH S T R I S EH V AH N;
Chemo-Port	chemo_port	K I M O P AO R T;
Chemoradiotherapy	_chemoradiotherapy_	K EH M AH R AH D AI AH TH EH R AH P I;
Chiari	_chiari_	K I AA R I;
Chiari I	chiari_i	K I AA R I W AH N;
Chiari II	chiari_ii	K I AA R I T U;
Chiari III	chiari_iii	K I AA R I TH R I;
Chiari IV	chiari_iv	K I AA R I F AO R;
Chiari malformation	chiari_malformation	K I AA R I M AE L F AO R M EI SH AH N;
Chiari-Arnold	chiari_arnold	K I AA R I AA R N AH L D;
Chiari-Arnold	chiari_arnold	K I AA R I AA R N AO L D;
Chiari-Arnold	chiari_arnold	K I AA R I AA R N O L D;
Chiari-Budd	chiari_budd	K I AA R I B AH D;
Chiari-type	chiari_type	CH I AA R AI T AI P;
Chiari-type	chiari_type	K I AA R I T AI P;
Cholangiography	_cholangiography_	K O L AE N JH I AA G R AX F I;
Cholelithiasis	cholelithiasis	K O L EH L IH TH I AH S IH S;
Chromagen	_chromagen_	K R O M AH JH IH N;
Ciliata	_ciliata_	S I L I AA T AH;
Ciliata	_ciliata_	S IH L I AH T AH;
Ciliata	_ciliata_	S IH L I EI T AH;
Ciprin	_ciprin_	S IH P R IH N;
Citrobacter	_citrobacter_	S AI T R O B AH K T ER;
Citrobacter	_citrobacter_	S IH T R O B AE K T ER;
Citrobacter Freundii	citrobacter_freundii	S IH T R O B AE K T ER F R UH N D I;
Citrobacter koseri	citrobacter_koseri	S IH T R O B AE K T ER K AO S EH R I;
Citrobacter koseri	citrobacter_koseri	S IH T R O B AH K T AH R K O S EH R I;
Citrobacter koseri	citrobacter_koseri	S IH T R O B AH K T ER K AO S EH R I;
ClariFix	_clarifix_	K L EH R AH F IH K S;
ClariFix	_clarifix_	K L EH R IH F IH K S;
Clostridium	_clostridium_	K L AO S T R IH D I AH M;
Clostridium	_clostridium_	K L O S T R IH D I AH M;
Clostridium	_clostridium_	K L O S T R IH T I AH M;
CoV-2	cov_2	K O V T U;
Cobb Angle	_cobb_angle_	K AA B AE NG AX L;
Cobb Angle	_cobb_angle_	K AA B EI NG AX L;
Cockayne syndrome	cockayne_syndrome	K AA K EI N S IH N D R O M;
Cockayne syndrome	cockayne_syndrome	K AA K EI N S IH N D R O M;
Codman	_codman_	K AA D M AH N;
Codman's	codman_s	K AA D M AH N Z;
Codman's pendulum	codman_s	K AA D M AH N S P EH N JH U L AH M;
Codman's pendulum	codman_s	K AA D M AH N Z P EH N JH U L AH M;
Cogmed	_cogmed_	K AA G M EH D;
Coldamine	_coldamine_	K O L D AA M IH N;
Coldamine	_coldamine_	K O L D AE M AH N;
Coldamine	_coldamine_	K O L D AE M I N;
Coldamine	_coldamine_	K O L D AE M IH N;
Coldamine	_coldamine_	K O L D AH M I N;
Coldamine	_coldamine_	K O L D AH M IH N;
Colibri	_colibri_	K AA L IH B R I;
Colibri	_colibri_	K L IH B R I;
Colibri	_colibri_	K O L IH B R I;
Cologel	_cologel_	K AA L AH JH EH L;
Cologel	_cologel_	K AH L AO JH EH L;
Cologel	_cologel_	K O L O JH EH L;
Colona	_colona_	K AA L O N AH;
Colona	_colona_	K AH L O N AH;
Colona	_colona_	K O L O N AH;
Colonel	_colonel_	K ER N AH L;
Colonels	_colonels_	K ER N AH L Z;
Colonia	_colonia_	K AA L AH N I AH;
Colonia	_colonia_	K AA L O N I AH;
Colonia	_colonia_	K AH L O N I AH;
Colonial	_colonial_	K AA L O N I AH L;
Colonial	_colonial_	K AH L O N I AH L;
Colonie	_colonie_	K AA L AH N I;
Colonie	_colonie_	K AH L O N I;
Colonie	_colonie_	K O L AH N I;
Colonix	_colonix_	K AA L AH N IH K S;
Colonix	_colonix_	K AH L AA N IH K S;
Colonix	_colonix_	K O L AA N IH K S;
Colonna	_colonna_	K AA L O N AH;
Colonna	_colonna_	K AH L O N AH;
Colonna	_colonna_	K O L O N AH;
Comas	_comas_	K O M AE S;
Comas	_comas_	K O M AH S;
Comas	_comas_	K O M AH Z;
Comed	_comed_	K AA M D;
Comed	_comed_	K AH M D;
Comed	_comed_	K AH M EH D;
Comex	_comex_	K AA M EH K S;
Comex	_comex_	K O M EH K S;
ComfortFull	_comfortfull_	K AH M F AO R T F UH L;
ComfortFull	_comfortfull_	K AH M F ER R T F UH L;
Commit	_commit_	K AH M IH T;
Commit	_commit_	K AO M IH T;
Compositae	_compositae_	K AA M P AA Z AH T EI;
Compositae	_compositae_	K AA M P AA Z IH T I;
Compositae	_compositae_	K AH M P AA Z AH T EI;
Composix	_composix_	K AA M P AA Z IH K S;
Composix	_composix_	K AH M P AA Z IH K S;
Composix	_composix_	K AH M P O Z IH K S;
Conners	_conners_	K AA N ER Z;
Conners	_conners_	K AO N ER Z;
Connors	_connors_	K AA N AO R Z;
Connors	_connors_	K AA N ER Z;
Connors Test	connors_test	K AA N ER Z T EH S T;
CoolPeel	_coolpeel_	K U L P I L;
CoolPeel	_coolpeel_	K UH L P I L;
Corda	_corda_	K AO R D AH;
Cordaro	_cordaro_	K AO R D AA R O;
Cordaro	_cordaro_	K AO R D EH R O;
Cordaro	_cordaro_	K ER D AA R O;
Cordase	_cordase_	K AO R D AA S AH;
Cordase	_cordase_	K ER D EI S;
Cordase	_cordase_	K ER D EI Z;
Cordata	_cordata_	K AO R D AA T AH;
Cordata	_cordata_	K AO R D AE T AH;
Cordata	_cordata_	K ER D AA T AH;
Corday	_corday_	K AO R D I;
Corday	_corday_	K ER D EI;
Cordeiro	_cordeiro_	K ER D EH R O;
Cordele	_cordele_	K AO R D AH L;
Cordele	_cordele_	K AO R D EH L;
Cordele	_cordele_	K ER D EH L;
Cordelia	_cordelia_	K AO R D EH L I AH;
Cordelia	_cordelia_	K AO R D EH L I;
Cordell	_cordell_	K AO R D EH L;
Cordell	_cordell_	K ER D EH L;
Corder	_corder_	K AO R D AH R;
Corder	_corder_	K AO R D ER;
Corderi	_corderi_	K AO R D ER AH;
Corderi	_corderi_	K AO R D ER I;
Corderi	_corderi_	K ER D EH R I;
Cordero	_cordero_	K AO R D EH R O;
Cordero	_cordero_	K ER D EH R O;
Cordes	_cordes_	K AA R D Z;
Cordes	_cordes_	K AO R D Z;
Cordes	_cordes_	K ER D Z;
Cordguard	_cordguard_	K AA R D G AA R D;
Cordguard	_cordguard_	K AO R D G AA R D;
Cordguard	_cordguard_	K ER D G AA R D;
Cordia	_cordia_	K AA R T I AH;
Cordia	_cordia_	K AO R D I AH;
Cordia	_cordia_	K AO R JH AH;
Cordie	_cordie_	K AA R D I;
Cordie	_cordie_	K AA R T I;
Cordie	_cordie_	K AO R D I;
Cordiero	_cordiero_	K AO R D I EH R O;
Cordiero	_cordiero_	K AO R JH IH R O;
Cordiero	_cordiero_	K AO R JH R O;
Cordilleras	_cordilleras_	K AO R D AH L EH R AA Z;
Cordilleras	_cordilleras_	K AO R D IH L EH R AA Z;
Cordilleras	_cordilleras_	K AO R D IH L ER R AH Z;
Cordio	_cordio_	K AA R D I O;
Cordio	_cordio_	K AO R D I O;
Cordio	_cordio_	K ER D I O;
Cordis	_cordis_	K AO R D I S;
Cordis	_cordis_	K AO R D I Z;
Cordis	_cordis_	K AO R D IH S;
Cordis-Hakim	cordis_hakim	K AO R D IH S AA K I M;
Cordis-Hakim	cordis_hakim	K AO R D IH S H AE K IH M;
Cordis-Hakim	cordis_hakim	K AO R JH S AA K I M;
Cordis-Webster	cordis_webster	K AO R D IH S H W EH B S T ER;
Cordis-Webster	cordis_webster	K AO R D IH S W EH B S T ER;
Cordis-Webster	cordis_webster	K AO R JH S W EH B S T ER;
Cordish	_cordish_	K AO R D IH SH;
Cordle	_cordle_	K AA R D AH L;
Cordle	_cordle_	K AO R D AH L;
Cordner	_cordner_	K AA R D N ER;
Cordner	_cordner_	K AO R D N ER;
Cordner	_cordner_	K ER D N ER;
Cordonnier	_cordonnier_	K AO R D AH N I ER;
Cordonnier	_cordonnier_	K AO R D AH N IH R;
Cordonnier	_cordonnier_	K AO R D O N I ER;
Cordova	_cordova_	K AO R D O V AH;
Cordovan	_cordovan_	K AO R D O V AA N;
Cordovan	_cordovan_	K AO R D O V AH N;
Cordovas	_cordovas_	K AO R D O V AA Z;
Cordovas	_cordovas_	K AO R D O V AH S;
Cordovas	_cordovas_	K AO R D O V AH Z;
Cordox	_cordox_	K AO R D AA K S;
Cordox	_cordox_	K AO R D AH K S;
Cordox	_cordox_	K ER D AA K S;
Cordran-N	cordran_n	K AO R D R AE N N;
Cordran-N	cordran_n	K AO R D R AO N EH N;
Cordran-N	cordran_n	K AO R D R AO N N;
Cordray	_cordray_	K AO R D R EI;
Cordray	_cordray_	K AO R D R;
Cordrey	_cordrey_	K AH R D R I;
Cordrey	_cordrey_	K AO R D R I;
Cordry	_cordry_	K AH R D R I;
Cordry	_cordry_	K AO R D R I;
Cordy	_cordy_	K AA R D I;
Cordy	_cordy_	K AH R D I;
Cordy	_cordy_	K AO R D I;
Cordylobia	_cordylobia_	K AO R D AI L AH B I AH;
Cordylobia	_cordylobia_	K AO R D AI L O B I AH;
Cordylobia	_cordylobia_	K ER D IH L O B I AH;
CoreFirst Strategies	corefirst_strategies	K AO R F ER S T S T R AE D AH JH I Z;
CoreFirst Strategies	corefirst_strategies	K AO R F ER S T S T R AE T EH JH I Z;
Corne	_corne_	K AO R N I;
Corne	_corne_	K AO R N;
Corneascope	_corneascope_	K AO R N I AA S K O P;
Corneascope	_corneascope_	K AO R N I AH S K O P;
Corneascope	_corneascope_	K AO R N I J AH S K O P;
Corneille	_corneille_	K AO R N I L;
Cornejo	_cornejo_	K ER N EI J O;
Cornel	_cornel_	K AO R N AH L;
Cornel	_cornel_	K AO R N EH L;
Cornel	_cornel_	K ER N EH L;
Cornelia	_cornelia_	K AO R N I L J AH;
Cornelio	_cornelio_	K AO R N I L I O;
Cornelio	_cornelio_	K AO R N I L J O;
Cornelio	_cornelio_	K ER N EH L I O;
Cornelis	_cornelis_	K AO R N EH L AH S;
Cornelis	_cornelis_	K ER N EH L AH S;
Cornelis	_cornelis_	K ER N EH L IH S;
Cornelison	_cornelison_	K AO R N EH L AH S AH N;
Cornelison	_cornelison_	K AO R N I L IH S AH N;
Cornelison	_cornelison_	K ER N EH L IH S AH N;
Cornelius	_cornelius_	K AO R N I L J AH S;
Corneliuson	_corneliuson_	K AO R N I L J AH S AH N;
Cornell	_cornell_	K AO R N AH L;
Cornell	_cornell_	K AO R N EH L;
Cornell's	_cornell_s_	K AO R N EH L Z;
Cornelle	_cornelle_	K ER N EH L;
Cornelly	_cornelly_	K AO R N EH L I;
Cornet	_cornet_	K AO R N EH T;
Cornet	_cornet_	K AO R N IH T;
Cornett	_cornett_	K AO R N EH T;
Cornett	_cornett_	K AO R N IH T;
Cornetta	_cornetta_	K AO R N EH T AH;
Cornette	_cornette_	K AO R N EH T;
Corney	_corney_	K AO R N I;
Cornfield	_cornfield_	K AO R N F I L D;
Cornforth	_cornforth_	K AO R N F ER TH;
Cornhuskers	_cornhuskers_	K AO R N H AH S K ER Z;
Cornia	_cornia_	K AO R N I AH;
Cornick	_cornick_	K AO R N IH K;
Cornie	_cornie_	K AO R N I;
Cornier	_cornier_	K AO R N I ER;
Corning	_corning_	K AO R N IH NG;
Corning's	_corning_s_	K AO R N IH NG Z;
Cornish	_cornish_	K AO R N IH SH;
Cornman	_cornman_	K AO R N M AH N;
